word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
equal,1.048252,0.011777,0.512383,-0.889272,-0.417743,1.028359,3.275439,-0.209725,0.103806,-0.17116,0.643625,0.674576,1.140508,-0.184231,-0.676878,1.119076,0.335295,0.318525,-1.266781,-0.946427,-0.023371
lie,0.222351,0.595788,-0.681343,0.556163,-1.068162,0.977238,2.593629,-0.218259,0.028372,-1.03427,1.202922,-1.400907,0.680078,1.187577,0.496143,-0.715116,0.402357,0.969727,-0.499355,-1.699894,0.312142
manifold,-0.239396,0.972732,-0.670471,0.921729,-1.422612,0.238747,2.875315,1.150054,0.539703,-0.17111,-0.352458,-2.125742,0.935553,0.346907,0.671713,-0.817705,1.928466,2.024783,-0.508308,-0.219021,-0.107096
degree,1.116278,0.269942,-0.24472,-0.418566,-0.555796,1.257984,1.752435,0.619133,0.479299,-0.598969,1.174615,-0.364152,1.321875,0.900402,-0.371819,1.219562,-0.1943,0.45101,-2.72644,-0.277094,0.334091
differential,1.022432,1.150919,-0.918813,-0.408831,-1.591801,-1.208927,1.677288,0.850672,0.854358,0.487376,1.172017,-1.110389,0.613329,1.329456,0.067542,-0.976044,0.403661,1.355953,-1.473939,-0.380068,0.421913
$\mathbb{C}$,0.216685,0.555676,0.493967,-0.638655,-0.327146,0.754748,2.954247,-1.646703,1.476918,-0.704938,0.74688,-0.379641,-0.590969,-0.07892,0.891382,0.69506,0.134229,-0.228942,-1.317398,-1.076389,-0.254846
regular,-0.592213,-0.010446,0.484363,0.169501,-0.217316,2.239904,2.668913,-0.354451,-0.556372,0.528402,-0.258073,-1.277696,0.68399,-0.314847,-0.693958,-1.128468,-1.812771,1.789059,-2.023599,-0.640939,-0.355346
second,1.530283,-0.139472,-0.500648,0.151476,-1.208635,0.694451,2.238159,0.842496,0.805199,0.807725,1.009815,0.721599,-0.031785,0.412051,-0.404441,0.223909,-0.072651,0.592316,-1.484662,-0.605472,0.739938
triangle,0.749091,-1.076904,-0.048261,0.254235,-0.92496,1.409407,3.324856,-1.462465,0.203973,-0.886258,0.387118,0.562511,0.458838,0.388856,-1.479811,0.642844,-1.315191,0.905473,-0.64822,-0.34302,-1.902547
subset,0.21162,0.569998,1.750511,-0.736602,0.527713,2.167447,3.257516,-0.250735,0.488874,1.680568,0.071976,-0.838031,-0.188451,0.741867,0.467118,0.138108,1.127699,0.761104,-1.279346,-1.002078,0.244449
circle,0.488522,-0.115243,-0.767295,0.701433,-0.192245,1.012963,3.710469,-0.576387,1.01078,-0.288254,0.528861,-0.122501,0.82254,0.168129,-1.106295,0.236863,0.175588,1.082224,0.135554,-0.610328,-2.156147
relation,1.282232,-0.334347,0.965536,-0.740085,-1.41666,0.49389,2.15453,-0.791298,-0.046047,-0.157698,0.476248,-0.045229,-0.605928,1.191805,-0.066105,-0.612349,-0.001813,0.464482,-1.187911,-1.236743,0.954841
positive,0.651122,0.331303,0.160784,-1.42353,-0.958149,0.897748,2.674363,-0.043043,-0.076857,0.218103,0.781996,0.510456,1.539799,0.284789,-0.19878,0.468567,0.762618,0.8905,-1.641565,-0.766341,0.605413
simple,-0.035533,0.132109,-0.009615,-0.79886,-1.460675,0.181997,3.053134,0.260941,-0.048407,0.100694,-0.587977,-0.66981,0.429615,1.296162,0.082016,0.187942,-0.646888,0.708353,-0.85117,-0.642629,0.752428
topology,-0.002376,0.54864,0.372482,0.159329,-0.425413,0.766743,2.104313,1.136717,0.85391,1.130464,-0.425223,-2.536545,-0.361769,0.646675,0.253706,-1.461572,1.038649,1.037894,-1.721732,-1.111124,-0.383731
category,0.373285,0.202448,0.816624,0.150709,-0.343894,0.674539,2.624111,0.41259,0.379408,-0.186654,-0.084406,-2.506773,-1.029862,0.521708,1.063876,-1.652169,0.745863,-0.755617,-0.585864,-2.136766,-0.170573
surface,-0.514069,0.593016,-0.66437,1.017566,-0.819594,-0.319248,3.448849,0.223704,0.648363,-0.268785,0.215381,-0.579449,1.007178,1.105558,-0.591171,0.026289,0.985653,1.854437,-0.047513,0.392307,-1.356713
constant,0.435819,0.623629,-0.020775,-1.333384,-0.440813,-0.453494,2.706705,0.269934,0.332183,0.027233,0.492813,0.988408,0.314542,0.649925,-0.797069,0.620953,0.685426,1.502721,-1.176378,-0.912719,0.395347
application,0.787414,0.25875,-0.08434,-0.076892,-0.882398,-1.641343,2.070485,0.083146,0.919913,0.781011,-0.042688,-1.333981,0.405495,1.102287,-0.436121,0.219225,-0.743638,0.39713,-1.630153,-0.517789,0.541078
integral,0.373874,1.001213,-0.771063,-1.689162,-0.962078,-0.390847,2.008493,0.441502,1.126493,0.531156,0.786169,0.751422,0.432696,1.461334,-0.254925,-0.681315,0.020419,1.736669,-1.279964,-0.940169,-0.128386
coordinate,1.260411,1.089384,-0.776136,-0.181168,-1.11212,-0.044473,3.37854,-1.009515,0.938485,-0.271663,0.683196,0.159956,0.91288,-0.343723,-0.632409,-1.355556,-0.103289,0.373312,-0.029675,-0.291877,-0.061131
complete,0.023288,-0.771661,0.103685,-0.200009,-0.51834,1.339606,1.810545,-0.005736,0.910867,0.988308,-0.301741,-1.18423,0.415447,1.70085,0.728603,0.207709,0.161412,0.98599,-2.398203,0.118395,0.414335
root,0.797222,0.720528,0.040437,-1.29888,-1.108176,0.792496,2.69876,0.970386,-0.28794,-0.33589,1.022277,0.934271,0.32627,1.181661,0.173129,1.251583,-1.145233,0.286222,-0.76055,-0.722534,-0.144831
length,0.880995,0.474335,0.310665,-0.246936,0.016533,0.849652,3.494151,0.029374,0.522825,-0.403205,-0.007816,0.639834,0.356434,-0.070231,-1.20073,0.900213,-0.629879,0.374451,-0.671018,-0.76326,-0.262881
continuous,0.302541,0.741308,0.168912,-1.649005,0.332576,0.18966,2.376682,-0.397938,1.446545,1.354951,-0.33958,-0.483339,0.815961,0.711117,0.539118,-1.360329,1.129272,1.26642,-1.645439,-0.80365,0.711171
logic,0.354599,-0.974049,0.592119,-0.109604,-1.676896,0.060162,0.475296,-0.75572,0.358044,1.93128,0.39796,-0.837404,-2.191761,1.14396,-0.949028,-0.943848,-0.520517,-0.157302,-2.442863,-0.874484,0.937679
external,1.082004,0.094736,0.236009,1.218628,-0.45816,-1.050008,1.88204,0.303053,0.711765,1.250847,0.597279,-1.346431,-0.229825,0.107719,-0.315268,-0.452975,-1.404844,1.175825,-2.06151,0.625888,-1.004598
